1.749999999999999889e-01,1.749999999999999889e-01,1.749999999999999889e-01,1.749999999999999889e-01
2.374999999999999889e-01,1.125000000000000028e-01,2.374999999999999889e-01,1.125000000000000028e-01
1.125000000000000028e-01,2.374999999999999889e-01,1.125000000000000028e-01,2.374999999999999889e-01
1.437499999999999889e-01,1.437499999999999889e-01,2.062499999999999889e-01,8.125000000000000278e-02
2.687499999999999889e-01,2.687499999999999889e-01,8.125000000000000278e-02,2.062499999999999889e-01
2.062499999999999889e-01,8.125000000000000278e-02,1.437499999999999889e-01,1.437499999999999889e-01
8.125000000000000278e-02,2.062499999999999889e-01,2.687499999999999889e-01,2.687499999999999889e-01
9.687500000000000278e-02,1.281249999999999889e-01,1.281249999999999889e-01,2.218749999999999889e-01
2.218749999999999889e-01,2.531249999999999889e-01,2.531249999999999889e-01,9.687500000000000278e-02
2.843749999999999889e-01,6.562500000000000278e-02,1.906249999999999889e-01,2.843749999999999889e-01
