9.500000000000000111e-02,9.500000000000000111e-02,7.500000000000000000e+01,7.500000000000000000e+01,7.500000000000000000e+01
9.750000000000000333e-02,9.249999999999999889e-02,1.125000000000000000e+02,3.750000000000000000e+01,1.125000000000000000e+02
9.249999999999999889e-02,9.750000000000000333e-02,3.750000000000000000e+01,1.125000000000000000e+02,3.750000000000000000e+01
9.375000000000000000e-02,9.375000000000000000e-02,9.375000000000000000e+01,1.875000000000000000e+01,1.312500000000000000e+02
9.875000000000000444e-02,9.875000000000000444e-02,1.875000000000000000e+01,9.375000000000000000e+01,5.625000000000000000e+01
9.625000000000000222e-02,9.124999999999999778e-02,5.625000000000000000e+01,5.625000000000000000e+01,1.875000000000000000e+01
9.124999999999999778e-02,9.625000000000000222e-02,1.312500000000000000e+02,1.312500000000000000e+02,9.375000000000000000e+01
9.187499999999999833e-02,9.312499999999999944e-02,4.687500000000000000e+01,1.031250000000000000e+02,8.437500000000000000e+01
9.687500000000000278e-02,9.812499999999999001e-02,1.218750000000000000e+02,2.812500000000000000e+01,9.375000000000000000e+00
9.937499999999999112e-02,9.062499999999999722e-02,8.437500000000000000e+01,1.406250000000000000e+02,4.687500000000000000e+01
9.437500000000000056e-02,9.562500000000000167e-02,9.375000000000000000e+00,6.562500000000000000e+01,1.218750000000000000e+02
9.312499999999999944e-02,9.187499999999999833e-02,1.406250000000000000e+02,8.437500000000000000e+01,6.562500000000000000e+01
9.812499999999999001e-02,9.687500000000000278e-02,6.562500000000000000e+01,9.375000000000000000e+00,1.406250000000000000e+02
9.562500000000000167e-02,9.437500000000000056e-02,2.812500000000000000e+01,1.218750000000000000e+02,1.031250000000000000e+02
9.062499999999999722e-02,9.937499999999999112e-02,1.031250000000000000e+02,4.687500000000000000e+01,2.812500000000000000e+01
9.093749999999999056e-02,9.468749999999999389e-02,1.265625000000000000e+02,6.093750000000000000e+01,4.218750000000000000e+01
9.593749999999999500e-02,9.968749999999999833e-02,5.156250000000000000e+01,1.359375000000000000e+02,1.171875000000000000e+02
9.843749999999999722e-02,9.218749999999999167e-02,1.406250000000000000e+01,2.343750000000000000e+01,7.968750000000000000e+01
9.343749999999999278e-02,9.718749999999999611e-02,8.906250000000000000e+01,9.843750000000000000e+01,4.687500000000000000e+00
